muscle_group,subset_muscles,exercise_title,muscle_description_title,muscle_description,exercise_execution_title
Arme,Unterarme,Unterarm-Curls am Kabelzug (Obergriff),Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls am Kabelzug (Untergriff),Erklärung der Übung,,Beschreibung der Übungsausführung
Arme,Unterarme,Unterarm-Curls vor dem Körper,Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls mit der Langhantel (Obergriff),Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls mit der Langhantel (Untergriff),Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls hinter dem Rücken,Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls (Untergriff),Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Unterarm-Curls (Obergriff),Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Reverse-Curls,Erklärung der Übung,,Die richtige Ausführung
Arme,Unterarme,Hammercurls,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Schrägbank-Frontheben,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Langhantel-Frontheben,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Arnold Press,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Handstand Push Ups,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Frontheben mit dem Theraband,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Military Press,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Frontheben,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Kurzhantel-Schulterdrücken,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Seitlicher Ausfallschritt mit der Langhantel,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Rückwärtiges Beinstrecken am Gerät,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Hackenschmidt-Kniebeugen,Erklärung der Übung,,Die richtige Ausführung
Schultern,Vordere Schulter,Schulterdrücken,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Diagonaler Ausfallschritt ohne Equipment,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Rutschendes Beinbeugen,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Langhantel-Ausfallschritt,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Zercher-Kniebeugen,Erklärung der Übung,,Aufheben der Langhantel
Po,Großer Gesäßmuskel,Good Mornings,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Kurzhantel-Aufsteiger,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Beinheben auf allen Vieren,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Aufsteiger,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Kurzhantel-Kniebeugen,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Stehende Hackenschmidt-Kniebeugen am Gerät,Erklärung der Übung,,Die richtige Ausführung
Po,Großer Gesäßmuskel,Ausfallschritt ohne Equipment,Erklärung der Übung,,Die richtige Ausführung
Po,Abduktoren,Abduktoren-Beinheben,Erklärung der Übung,,Die richtige Ausführung
Po,Abduktoren,Abduktion am Kabelzug,Erklärung der Übung,,Die richtige Ausführung
Po,Abduktoren,Abduktoren am Gerät,Erklärung der Übung,,Die richtige Ausführung
Po,Abduktoren,Beinheben zur Seite auf allen Vieren,Erklärung der Übung,,Die richtige Ausführung
Beine,Oberschenkel,Liegendes Beinbeugen am Gerät,Erklärung der Übung,,Die richtige Ausführung
Beine,Oberschenkel,Beckenheben,Erklärung der Übung,,Die richtige Ausführung
Beine,Oberschenkel,Beinpresse,Erklärung der Übung,,Die richtige Ausführung
